date,open,high,low,close,volume
2026-04-01,65407.25,66081.0,65105.6,65724.8,3839
2026-04-02,65436.19,66214.15,64637.46,65255.26,1335
2026-04-03,65868.94,66920.84,65052.95,66496.22,2782
2026-04-04,67297.2,67516.65,66873.13,67245.79,3305
2026-04-05,67668.64,68385.02,66913.92,67612.23,1496
2026-04-06,67673.85,68224.09,67405.57,67882.4,1895
2026-04-07,68818.08,69770.45,68347.1,68588.45,3207
2026-04-08,69857.66,70820.8,68840.11,69465.2,4546
2026-04-09,69354.65,70286.55,68656.65,69289.16,1851
2026-04-10,69671.27,70202.81,68961.33,69706.68,2687
2026-04-11,69585.82,69798.19,68326.94,69107.81,2931
2026-04-12,69540.83,70483.48,68192.78,69173.46,3737
2026-04-13,69445.13,69987.67,68575.47,69188.51,4746
2026-04-14,68203.29,69176.62,67472.16,67930.53,3427
2026-04-15,65684.77,67080.75,64848.62,66109.85,2568
2026-04-16,66119.12,67183.54,65702.46,66301.13,1956
2026-04-17,65103.86,65539.42,64335.11,64886.28,3738
2026-04-18,65370.17,65878.25,65101.64,65364.41,4498
2026-04-19,64730.64,65791.99,64510.36,64911.08,2636
2026-04-20,63019.73,63662.45,62049.61,63208.91,2291
2026-04-21,64860.79,65308.17,63992.01,64972.57,4906
2026-04-22,64881.79,65764.74,64125.01,65119.3,4648
2026-04-23,65302.76,66251.68,64004.25,64531.42,2440
2026-04-24,63601.45,64534.0,63262.81,63777.17,2191
2026-04-25,63118.95,64042.09,62793.8,63386.04,4913
2026-04-26,63375.46,63974.1,62975.27,63696.35,2066
2026-04-27,62773.86,63465.86,61596.39,62235.77,4627
2026-04-28,63045.32,64037.36,61861.34,62633.02,1284
2026-04-29,62370.12,62945.11,61641.96,62633.04,3444
2026-04-30,62448.35,63063.01,61970.33,62394.28,1011
2026-05-01,61882.77,62823.02,60918.88,61921.12,2630
2026-05-02,63847.71,64640.32,62901.84,63692.16,4373
2026-05-03,63497.89,64261.01,62854.4,63503.39,4969
2026-05-04,62719.55,63621.51,62030.17,62859.52,4324
2026-05-05,63523.72,64182.61,62988.04,63695.02,3546
2026-05-06,62237.11,62859.28,61838.93,62424.4,1753
2026-05-07,62945.0,64184.9,62460.22,63337.41,3082
2026-05-08,61252.53,62153.82,60446.25,61305.72,3774
2026-05-09,60073.18,60966.83,59562.56,59774.07,3896
2026-05-10,60270.43,61423.8,59977.57,60493.21,1089
2026-05-11,60719.85,61439.1,60483.05,60830.02,1775
2026-05-12,61202.76,62105.91,60970.18,61504.7,3652
2026-05-13,61198.16,62412.13,60313.79,61573.49,4993
2026-05-14,60892.28,61612.25,60124.75,60887.68,4017
2026-05-15,59801.86,60844.6,59222.52,60083.02,2625
2026-05-16,59375.33,60214.15,59097.06,59377.51,4069
2026-05-17,59411.29,60323.29,58551.97,59145.26,1417
2026-05-18,60014.8,60915.75,59436.02,60445.35,1114
2026-05-19,60424.8,60925.26,59960.5,60299.06,1616
2026-05-20,58835.06,59110.25,58118.16,58665.24,4974
2026-05-21,58745.66,59665.6,58226.85,59002.97,4267
2026-05-22,58952.15,59180.9,58062.14,58754.82,1825
2026-05-23,58444.6,59017.08,57702.2,58410.27,4572
2026-05-24,59675.87,60309.98,58909.1,59145.34,2649
2026-05-25,60019.86,60566.36,59520.17,60137.13,2516
2026-05-26,61061.49,61865.57,60360.81,61192.9,4146
2026-05-27,60302.13,60538.46,59699.62,60314.06,1412
2026-05-28,59820.35,60705.78,58935.16,60475.9,4447
2026-05-29,60776.36,61634.44,59697.54,60424.49,4491
2026-05-30,61636.63,62616.84,61306.28,62128.69,1728
